year;row;raw;from;to;precision;style;status
1921;1;31 января;1921-01-31;1921-01-31;day;single;ok
1921;2;12 февраля;1921-02-12;1921-02-12;day;single;ok
1921;3;1 марта;1921-03-01;1921-03-01;day;single;ok
1921;4;4 марта;1921-03-04;1921-03-04;day;single;ok
1921;5;5–11 марта;1921-03-05;1921-03-11;day;single;ok
1921;6;7–8 марта;1921-03-07;1921-03-08;day;single;ok
1921;7;15 марта;1921-03-15;1921-03-15;day;single;ok
1921;8;16 марта;1921-03-16;1921-03-16;day;single;ok
1921;9;17–18 марта;1921-03-17;1921-03-18;day;single;ok
1921;10;18 марта;1921-03-18;1921-03-18;day;single;ok
1921;11;18 марта;1921-03-18;1921-03-18;day;single;ok
1921;12;20 мая;1921-05-20;1921-05-20;day;single;ok
1921;13;26 мая;1921-05-26;1921-05-26;day;single;ok
1921;14;Конец мая – начало июня;1921-05-21;1921-06-10;decade;single;порядок: дата раньше предыдущей (неточная дата — так у заказчика)
1921;15;4 июня;1921-06-04;1921-06-04;day;single;ok
1921;16;20 августа;1921-08-20;1921-08-20;day;single;ok
1921;17;28 августа;1921-08-28;1921-08-28;day;single;ok
1921;18;Сентябрь;1921-09-01;1921-09-30;month;single;ok
1921;19;22 декабря;1921-12-22;1921-12-22;day;single;ok
1922;1;5–14 февраля;1922-02-05;1922-02-14;day;single;ok
1922;2;6 февраля;1922-02-06;1922-02-06;day;single;ok
1922;3;12 марта;1922-03-12;1922-03-12;day;single;ok
1922;4;3 апреля;1922-04-03;1922-04-03;day;single;ok
1922;5;10 апреля – 20 мая;1922-04-10;1922-05-20;day;single;ok
1922;6;16 апреля;1922-04-16;1922-04-16;day;single;ok
1922;7;6 июня;1922-06-06;1922-06-06;day;single;ok
1922;8;8 июня – 7 августа;1922-06-08;1922-08-07;day;single;ok
1922;9;10 августа;1922-08-10;1922-08-10;day;single;ok
1922;10;15 июня – 19 июля;1922-06-15;1922-07-19;day;single;порядок: дата раньше предыдущей (неточная дата — так у заказчика)
1922;11;23 июля – 10 августа;1922-07-23;1922-08-10;day;single;ok
1922;12;Начало сентября;1922-09-01;1922-09-10;decade;single;ok
1922;13;Сентябрь;1922-09-01;1922-09-30;month;single;ok
1922;14;Конец сентября;1922-09-21;1922-09-30;decade;single;ok
1922;15;4–25 октября;1922-10-04;1922-10-25;day;single;ok
1922;16;15 ноября;1922-11-15;1922-11-15;day;single;ok
1922;17;Декабрь;1922-12-01;1922-12-31;month;single;ok
1922;18;13 декабря;1922-12-13;1922-12-13;day;single;ok
1922;19;30 декабря;1922-12-30;1922-12-30;day;single;ok
